agent_id,completion_date,dispatch_no,price,wbn
411433,2023-07-31 16:03:20.289,118304116,20,13390817844424
411433,2023-07-31 16:03:20.289,118304116,20,195041467542634
411433,2023-07-31 16:03:20.289,118304116,20,1649516004574
411433,2023-07-31 16:03:20.289,118304116,20,5947413621590
411433,2023-07-31 16:03:20.289,118304116,21,149085362763275
411433,2023-07-31 16:03:20.289,118304116,20,195041490779436
411433,2023-07-31 16:03:20.289,118304116,21,149085356011086
411433,2023-07-31 16:03:20.289,118304116,21,149085365154906
411433,2023-07-31 16:03:20.289,118304116,20,20363017530235
411433,2023-07-31 16:03:20.289,118304116,21,21861526131802
411433,2023-07-31 16:03:20.289,118304116,20,3991618356423
411433,2023-07-31 16:03:20.289,118304116,20,2667243278416
411433,2023-07-31 16:03:20.289,118304116,20,14289834875432
411433,2023-07-31 16:03:20.289,118304116,20,149085348412343
411433,2023-07-31 16:03:20.289,118304116,21,149085372828181
411433,2023-07-31 16:03:20.289,118304116,20,14228529109042
411433,2023-07-31 16:03:20.289,118304116,20,195041472107916
411433,2023-07-31 16:03:20.289,118304116,20,23056310092536
411433,2023-07-31 16:03:20.289,118304116,21,21861526706992
411433,2023-07-31 16:03:20.289,118304116,20,1442968778661
411433,2023-07-31 16:03:20.289,118304116,20,195041476396761
411433,2023-07-31 16:03:20.289,118304116,21,195041472222086
411433,2023-07-31 16:03:20.289,118304116,21,10009610234706
411433,2023-07-31 16:03:20.289,118304116,20,480715581343
411433,2023-07-31 16:03:20.289,118304116,21,149085366479273
411433,2023-07-31 16:03:20.289,118304116,20,195041491685376
411433,2023-07-31 16:03:20.289,118304116,10,19070525072584
411433,2023-07-31 16:03:20.289,118304116,20,195041490408160
411433,2023-07-31 16:03:20.289,118304116,20,195041471209330
411433,2023-07-31 16:03:20.289,118304116,20,11576182126110
411433,2023-07-31 16:03:20.289,118304116,20,13104625995361
411433,2023-07-31 16:03:20.289,118304116,20,195041472339826
411433,2023-07-31 16:03:20.289,118304116,20,21914317006252
411433,2023-07-31 16:03:20.289,118304116,21,28449297212214
411433,2023-07-31 16:03:20.289,118304116,20,195041487847490
411433,2023-07-31 16:03:20.289,118304116,20,28449303932785
411433,2023-07-31 16:03:20.289,118304116,20,2827730511094
411433,2023-07-31 16:03:20.289,118304116,20,22406210294070
411433,2023-07-31 16:03:20.289,118304116,20,10363916554052
